NAME,DISTURBANCE_ID,TM,DATA_SRC,SURFACE_CODE,CYC_TYPE,LAT,LON,CENTRAL_PRES,CENTRAL_PRES_UNCERTAINTY,MN_RADIUS_OUTER_ISOBAR,MN_RADIUS_GF_WND,MN_RADIUS_SF_WIND,MN_RADIUS_HF_WIND,MN_RADIUS_MAX_WIND,MAX_WIND_SPD,MAX_WIND_GUST
Freddy,AU200809_10U,2009/02/12 0:00,2,1,20,-20.75,95.76,1003,,407,0,0,0,,10.3,23.2
Freddy,AU200809_10U,2009/02/12 6:00,2,1,20,-20.37,94.58,1004,,407,0,0,0,,10.3,23.2
Freddy,AU200809_10U,2009/02/12 12:00,2,1,20,-20.02,93.13,1005,,407,0,0,0,,10.3,23.2
Freddy,AU200809_10U,2009/02/12 18:00,2,1,20,-19.67,91.68,1005,,407,0,0,0,,10.3,23.2
Freddy,AU200809_10U,2009/02/13 0:00,2,1,20,-19.32,90.23,1005,,407,0,0,0,,10.3,23.2
Freddy,AU200809_10U,2009/02/13 6:00,2,1,20,-19,88.9,1005,,407,0,0,0,,10.3,23.2
Hamish,AU200809_17U,2009/03/05 0:00,4,1,20,-12.94,147.87,999,,,0,0,0,,15.4,23.2
Hamish,AU200809_17U,2009/03/05 6:00,4,1,30,-13.22,147.37,996,,167,88,0,0,46,18,25.7
Hamish,AU200809_17U,2009/03/05 12:00,4,1,30,-13.37,147.1,988,,259,96,29,0,46,25.7,36
Hamish,AU200809_17U,2009/03/05 18:00,4,1,30,-14,146.99,986,,222,103,41,0,56,28.3,38.6
Hamish,AU200809_17U,2009/03/06 0:00,4,1,30,-14.54,146.81,982,,278,111,41,0,56,30.9,43.7
Hamish,AU200809_17U,2009/03/06 6:00,4,1,40,-14.85,146.74,973,,222,118,44,20,56,33.4,46.3
Hamish,AU200809_17U,2009/03/06 12:00,4,1,40,-15.47,147.33,965,,269,129,41,27,46,41.2,56.6
Hamish,AU200809_17U,2009/03/06 18:00,4,1,40,-16.24,147.73,962,,222,131,42,27,28,46.3,64.3
Hamish,AU200809_17U,2009/03/07 0:00,4,1,40,-17.05,148.22,946,,296,148,44,29,22,51.4,72
Hamish,AU200809_17U,2009/03/07 6:00,4,1,40,-17.92,148.75,933,,185,151,48,29,22,56.6,79.7
Hamish,AU200809_17U,2009/03/07 12:00,4,1,40,-18.54,149.35,927,,185,164,76,40,19,59.2,82.3
Hamish,AU200809_17U,2009/03/07 18:00,4,1,40,-19.26,149.96,929,,259,172,85,38,19,59.2,82.3
Hamish,AU200809_17U,2009/03/08 0:00,4,1,40,-19.99,150.55,929,,278,172,85,42,19,59.2,82.3
Hamish,AU200809_17U,2009/03/08 6:00,4,1,40,-20.75,151.07,924,,185,168,77,37,19,59.2,82.3
Hamish,AU200809_17U,2009/03/08 12:00,4,1,40,-21.18,151.56,925,,222,174,77,37,19,59.2,82.3
Hamish,AU200809_17U,2009/03/08 18:00,4,1,40,-21.6,152.05,927,,278,174,74,39,19,59.2,82.3
Hamish,AU200809_17U,2009/03/09 0:00,4,1,40,-22.16,152.64,948,,241,161,74,39,22,48.9,69.5
Hamish,AU200809_17U,2009/03/09 6:00,4,1,40,-22.79,153.21,948,,333,150,74,39,22,48.9,69.5
Hamish,AU200809_17U,2009/03/09 12:00,4,1,40,-23.29,153.79,954,,278,133,75,37,22,46.3,64.3
Hamish,AU200809_17U,2009/03/09 18:00,4,1,40,-23.81,154.17,951,,185,133,77,39,22,46.3,64.3
Hamish,AU200809_17U,2009/03/10 0:00,4,1,40,-24.19,154.83,954,,278,133,77,39,22,46.3,64.3
Hamish,AU200809_17U,2009/03/10 6:00,4,1,40,-24.75,155.65,952,,259,133,68,35,28,46.3,64.3
Hamish,AU200809_17U,2009/03/10 12:00,4,1,40,-24.77,156.05,961,,333,129,63,31,28,41.2,56.6
Hamish,AU200809_17U,2009/03/10 18:00,4,1,40,-24.74,155.51,968,,222,127,63,29,33,36,51.4
Hamish,AU200809_17U,2009/03/11 0:00,4,1,30,-24.26,155.04,978,,222,131,52,0,46,30.9,43.7
Hamish,AU200809_17U,2009/03/11 6:00,4,1,30,-23.35,154.9,978,,222,115,52,0,56,30.9,43.7
Hamish,AU200809_17U,2009/03/11 12:00,4,1,30,-22.82,154.18,990,,222,100,0,0,33,23.2,33.4
Hamish,AU200809_17U,2009/03/11 18:00,4,1,20,-22.32,153.41,1000,,,0,0,0,,15.4,23.2
Ilsa,AU200809_18U,2009/03/15 0:00,2,1,20,-10,128.7,1006,,,0,0,0,,10.3,23.2
Ilsa,AU200809_18U,2009/03/15 6:00,2,1,20,-10.2,127.9,1006,,,0,0,0,,10.3,23.2
Ilsa,AU200809_18U,2009/03/15 12:00,2,1,20,-10.4,126.8,1006,,,0,0,0,,10.3,23.2
Ilsa,AU200809_18U,2009/03/15 18:00,2,1,20,-10.6,125.7,1004,,,0,0,0,,12.9,23.2
Ilsa,AU200809_18U,2009/03/16 0:00,2,1,20,-10.8,124.6,1004,,,0,0,0,,12.9,23.2
Ilsa,AU200809_18U,2009/03/16 6:00,2,1,20,-11.2,123.3,1004,,,0,0,0,,12.9,23.2
Ilsa,AU200809_18U,2009/03/16 12:00,2,1,20,-12,122.4,1004,,,0,0,0,,12.9,23.2
Ilsa,AU200809_18U,2009/03/16 18:00,2,1,20,-12.2,121.4,1004,,,0,0,0,,12.9,23.2
Ilsa,AU200809_18U,2009/03/17 0:00,2,1,20,-12.4,119.8,1004,,333,0,0,0,,12.9,23.2
Ilsa,AU200809_18U,2009/03/17 6:00,2,1,20,-12.8,118.1,1002,,333,0,0,0,,15.4,23.2
Ilsa,AU200809_18U,2009/03/17 12:00,2,1,20,-13,116.4,1002,,333,0,0,0,,15.4,23.2
Ilsa,AU200809_18U,2009/03/17 18:00,2,1,21,-13.1,114.7,1000,,333,74,0,0,,18,25.7
Ilsa,AU200809_18U,2009/03/18 0:00,2,1,30,-13.5,113.4,996,,333,88,0,0,37,20.6,28.3
Ilsa,AU200809_18U,2009/03/18 6:00,2,1,30,-13.6,111.7,994,,278,100,0,0,37,23.2,33.4
Ilsa,AU200809_18U,2009/03/18 12:00,2,1,30,-13.8,110.9,990,,278,122,37,0,28,25.7,36
Ilsa,AU200809_18U,2009/03/18 18:00,2,1,30,-14.5,109.7,984,,278,118,46,0,28,30.9,43.7
Ilsa,AU200809_18U,2009/03/19 0:00,2,1,40,-15.2,108.7,976,,278,118,56,37,28,36,51.4
Ilsa,AU200809_18U,2009/03/19 6:00,2,1,40,-16,107.6,968,,278,126,65,46,28,41.2,56.6
Ilsa,AU200809_18U,2009/03/19 12:00,2,1,40,-16.3,106.9,958,,278,118,65,46,22,46.3,64.3
Ilsa,AU200809_18U,2009/03/19 18:00,2,1,40,-16.2,105.9,958,,278,122,65,46,22,46.3,64.3
Ilsa,AU200809_18U,2009/03/20 0:00,2,1,40,-16.2,105.2,966,,278,129,65,46,22,41.2,56.6
Ilsa,AU200809_18U,2009/03/20 6:00,2,1,40,-16.1,104.4,966,,278,111,65,46,22,41.2,56.6
Ilsa,AU200809_18U,2009/03/20 12:00,2,1,40,-16,103.9,966,,333,107,65,46,19,41.2,56.6
Ilsa,AU200809_18U,2009/03/20 18:00,2,1,40,-15.9,103.1,966,,333,100,65,46,19,41.2,56.6
Ilsa,AU200809_18U,2009/03/21 0:00,2,1,40,-15.9,102.4,966,,333,100,65,46,19,41.2,56.6
Ilsa,AU200809_18U,2009/03/21 6:00,2,1,40,-16.1,101.6,966,,333,92,65,46,28,41.2,56.6
Ilsa,AU200809_18U,2009/03/21 12:00,2,1,40,-16.2,101.1,966,,333,88,65,46,28,41.2,56.6
Ilsa,AU200809_18U,2009/03/21 18:00,2,1,40,-16.2,100.2,968,,333,88,65,46,28,41.2,56.6
Ilsa,AU200809_18U,2009/03/22 0:00,2,1,40,-16.4,99.5,972,,333,107,65,46,28,38.6,54
Ilsa,AU200809_18U,2009/03/22 6:00,2,1,40,-16.6,98.8,976,,333,104,65,46,22,36,51.4
Ilsa,AU200809_18U,2009/03/22 12:00,2,1,40,-16.8,97.9,980,,333,104,65,37,22,33.4,46.3
Ilsa,AU200809_18U,2009/03/22 18:00,2,1,30,-17.1,96.7,986,,333,104,56,0,28,30.9,43.7
Ilsa,AU200809_18U,2009/03/23 0:00,2,1,30,-17.3,95.6,992,,333,85,46,0,28,25.7,36
Ilsa,AU200809_18U,2009/03/23 6:00,2,1,30,-17.5,94.3,996,,333,78,0,0,37,23.2,33.4
Ilsa,AU200809_18U,2009/03/23 12:00,2,1,21,-18.2,92.9,998,,333,55,0,0,46,20.6,28.3
Ilsa,AU200809_18U,2009/03/23 18:00,2,1,21,-18.7,91.4,1000,,333,55,0,0,46,18,23.2
Ilsa,AU200809_18U,2009/03/24 0:00,2,1,20,-19.2,90.1,1002,,333,0,0,0,,15.4,23.2
Ilsa,AU200809_18U,2009/03/24 6:00,2,1,20,-19.6,89,1002,,333,0,0,0,,12.9,20.6
Jasper,AU200809_20U,2009/03/22 12:00,4,1,20,-14,153.5,1001,,,0,0,0,,10.3,23.2
Jasper,AU200809_20U,2009/03/22 18:00,4,1,20,-14.1,154,1001,,,0,0,0,,10.3,23.2
Jasper,AU200809_20U,2009/03/23 0:00,4,1,20,-14.7,154.2,999,,,0,0,0,,12.9,23.2
Jasper,AU200809_20U,2009/03/23 6:00,4,1,20,-14.9,155.25,997,,,0,0,0,,15.4,23.2
Jasper,AU200809_20U,2009/03/23 12:00,4,1,20,-15.9,156.6,997,,,0,0,0,,15.4,23.2
Jasper,AU200809_20U,2009/03/23 15:00,4,1,30,-16,157.25,990,,,196,0,0,19,20.6,28.3
Jasper,AU200809_20U,2009/03/23 18:00,4,1,30,-16.05,157.9,985,,,285,44,0,19,25.7,36
Jasper,AU200809_20U,2009/03/24 0:00,4,1,30,-16.95,159.6,985,,,285,44,0,19,25.7,36
Jasper,AU200809_20U,2009/03/24 1:30,4,1,30,-17.45,160,985,,,285,44,0,19,25.7,36
Kirrily,AU200809_23U,2009/04/17 6:00,3,1,20,-7.3,133.3,1005,,,0,0,0,,10.3,23.2
Kirrily,AU200809_23U,2009/04/17 12:00,3,1,20,-7.4,133,1007,,,0,0,0,,10.3,23.2
Kirrily,AU200809_23U,2009/04/17 18:00,3,1,20,-7.7,132.6,1007,,,0,0,0,,10.3,23.2
Kirrily,AU200809_23U,2009/04/18 0:00,3,1,20,-8,132.3,1008,,,0,0,0,,10.3,23.2
Kirrily,AU200809_23U,2009/04/18 6:00,3,1,20,-8.4,131.9,1006,,,0,0,0,,10.3,23.2
Kirrily,AU200809_23U,2009/04/18 12:00,3,1,20,-8.3,131.5,1008,,,0,0,0,,10.3,23.2
Kirrily,AU200809_23U,2009/04/18 18:00,3,5,20,-8.1,131,1007,,,0,0,0,,10.3,23.2
Kirrily,AU200809_23U,2009/04/19 0:00,3,1,20,-7.8,130.6,1008,,,0,0,0,,12.9,23.2
Kirrily,AU200809_23U,2009/04/19 6:00,3,1,20,-7.7,130.3,1005,,,0,0,0,,12.9,23.2
Kirrily,AU200809_23U,2009/04/19 12:00,3,1,20,-7.7,130,1007,,,0,0,0,,10.3,23.2
Kirrily,AU200809_23U,2009/04/19 18:00,3,1,20,-7.6,129.7,1006,,,0,0,0,,10.3,23.2
Kirrily,AU200809_23U,2009/04/20 0:00,3,1,20,-7.4,129.6,1007,,,0,0,0,,12.9,23.2
Kirrily,AU200809_23U,2009/04/20 6:00,3,1,20,-7,129.9,1004,,,0,0,0,,12.9,23.2
Kirrily,AU200809_23U,2009/04/20 12:00,3,1,20,-7,130.8,1006,,,0,0,0,,10.3,23.2
Kirrily,AU200809_23U,2009/04/20 18:00,3,1,20,-7,131.5,1005,,,0,0,0,,10.3,23.2
Kirrily,AU200809_23U,2009/04/21 0:00,3,1,20,-7,132,1007,,,0,0,0,,12.9,23.2
Kirrily,AU200809_23U,2009/04/21 6:00,3,1,20,-7.1,132.5,1004,,,0,0,0,,12.9,23.2
Kirrily,AU200809_23U,2009/04/21 12:00,3,1,20,-7.2,132.8,1006,,,0,0,0,,10.3,23.2
Kirrily,AU200809_23U,2009/04/21 18:00,3,1,20,-7.2,133,1006,,,0,0,0,,10.3,23.2
Kirrily,AU200809_23U,2009/04/22 0:00,3,1,20,-7.3,133.2,1007,,,0,0,0,,10.3,23.2
Kirrily,AU200809_23U,2009/04/22 6:00,3,1,20,-7.4,133.2,1005,,,0,0,0,,12.9,23.2
Kirrily,AU200809_23U,2009/04/22 12:00,3,1,20,-7.5,133,1007,,,0,0,0,,10.3,23.2
Kirrily,AU200809_23U,2009/04/22 18:00,3,1,20,-7.6,132.9,1006,,,0,0,0,,12.9,23.2
Kirrily,AU200809_23U,2009/04/23 0:00,3,1,20,-7.8,132.9,1007,,,0,0,0,,12.9,23.2
Kirrily,AU200809_23U,2009/04/23 6:00,3,1,20,-8,133,1006,,,0,0,0,,12.9,23.2
Kirrily,AU200809_23U,2009/04/23 12:00,3,1,20,-8.3,133.2,1008,,,0,0,0,,10.3,23.2
Kirrily,AU200809_23U,2009/04/23 18:00,3,1,20,-8.5,133.5,1008,,,0,0,0,,12.9,23.2
Kirrily,AU200809_23U,2009/04/24 0:00,3,1,20,-8.8,134,1008,,,0,0,0,,10.3,23.2
Kirrily,AU200809_23U,2009/04/24 6:00,3,1,20,-8.8,134.5,1006,,,0,0,0,,10.3,23.2
Kirrily,AU200809_23U,2009/04/24 12:00,3,1,20,-8.8,134.8,1008,,,0,0,0,,10.3,23.2
Kirrily,AU200809_23U,2009/04/24 18:00,3,1,20,-8.6,135,1007,,,0,0,0,,12.9,23.2
Kirrily,AU200809_23U,2009/04/25 0:00,3,1,20,-8.3,135.1,1008,,,0,0,0,,10.3,23.2
Kirrily,AU200809_23U,2009/04/25 6:00,3,1,20,-8.1,135.4,,,,0,0,0,,12.9,23.2
Kirrily,AU200809_23U,2009/04/25 12:00,3,1,20,-8,135.6,,,,0,0,0,,12.9,23.2
Kirrily,AU200809_23U,2009/04/25 18:00,3,1,20,-7.9,135.8,,,,0,0,0,,12.9,23.2
Kirrily,AU200809_23U,2009/04/26 0:00,3,1,20,-7.7,135.7,1004,,278,0,0,0,,15.4,23.2
Kirrily,AU200809_23U,2009/04/26 3:00,3,1,20,-7.7,135.4,1004,,333,0,0,0,,15.4,23.2
Kirrily,AU200809_23U,2009/04/26 6:00,3,1,20,-7.5,135.1,1003,,333,0,0,0,,15.4,23.2
Kirrily,AU200809_23U,2009/04/26 9:00,3,1,20,-7.5,135,1002,,278,0,0,0,,15.4,23.2
Kirrily,AU200809_23U,2009/04/26 12:00,3,1,30,-7.4,134.9,999,,278,66,0,0,,18,25.7
Kirrily,AU200809_23U,2009/04/26 15:00,3,1,30,-7.3,134.8,999,,222,66,0,0,,18,25.7
Kirrily,AU200809_23U,2009/04/26 18:00,3,1,30,-7.2,134.6,,,222,66,0,0,,18,25.7
Kirrily,AU200809_23U,2009/04/26 21:00,3,1,30,-6.9,134.5,,,,66,0,0,,18,25.7
Kirrily,AU200809_23U,2009/04/27 0:00,3,3,30,-6.7,134.4,,,,66,0,0,,18,25.7
Kirrily,AU200809_23U,2009/04/27 3:00,3,2,30,-6.6,134.4,,,222,66,0,0,56,18,25.7
Kirrily,AU200809_23U,2009/04/27 6:00,3,2,30,-6.4,134.3,,,222,66,0,0,56,18,25.7
Kirrily,AU200809_23U,2009/04/27 9:00,3,2,30,-6.2,134.2,,,,83,0,0,,18,25.7
Kirrily,AU200809_23U,2009/04/27 12:00,3,4,30,-6.2,134.1,,,,83,0,0,,18,25.7
Kirrily,AU200809_23U,2009/04/27 15:00,3,1,30,-6.2,133.9,,,,66,0,0,,18,25.7
Kirrily,AU200809_23U,2009/04/27 18:00,3,1,30,-6.1,133.8,,,222,69,0,0,56,18,25.7
Kirrily,AU200809_23U,2009/04/27 21:00,3,1,30,-6.1,133.6,,,,69,0,0,,18,25.7
Kirrily,AU200809_23U,2009/04/28 0:00,3,1,30,-6,133.4,999,,167,69,0,0,56,18,25.7
Kirrily,AU200809_23U,2009/04/28 3:00,3,1,21,-5.9,133.3,1002,,,74,0,0,,18,25.7
Kirrily,AU200809_23U,2009/04/28 6:00,3,5,20,-5.7,133,1002,,167,0,0,0,,15.4,23.2
Kirrily,AU200809_23U,2009/04/28 9:00,3,5,20,-5.5,133.1,1004,,,0,0,0,,15.4,23.2
Kirrily,AU200809_23U,2009/04/28 12:00,3,1,20,-5.4,133.2,1004,,,0,0,0,,15.4,23.2
Kirrily,AU200809_23U,2009/04/28 15:00,3,1,20,-5.5,133.2,1007,,,0,0,0,,12.9,23.2
Kirrily,AU200809_23U,2009/04/28 18:00,3,5,20,-5.5,133.2,1006,,,0,0,0,,12.9,23.2
Kirrily,AU200809_23U,2009/04/28 21:00,3,1,20,-5.3,133.1,1006,,,0,0,0,,12.9,23.2
Kirrily,AU200809_23U,2009/04/29 0:00,3,1,20,-5.2,133,1007,,,0,0,0,,12.9,23.2
Kirrily,AU200809_23U,2009/04/29 3:00,3,1,20,-5.1,132.8,1007,,,0,0,0,,12.9,23.2
Kirrily,AU200809_23U,2009/04/29 6:00,3,1,20,-5.1,132.7,1007,,,0,0,0,,12.9,23.2
Kirrily,AU200809_23U,2009/04/29 12:00,3,1,20,-5.1,132.5,1009,,,0,0,0,,10.3,23.2
Kirrily,AU200809_23U,2009/04/29 18:00,3,1,20,-5,132.4,1009,,,0,0,0,,10.3,23.2
Kirrily,AU200809_23U,2009/04/30 0:00,3,1,20,-5,132.1,1009,,,0,0,0,,10.3,23.2
Kirrily,AU200809_23U,2009/04/30 3:00,3,1,20,-5.1,131.9,,,,0,0,0,,10.3,0
Kirrily,AU200809_23U,2009/04/30 6:00,3,1,20,-5.1,131.7,,,,0,0,0,,12.9,0
Kirrily,AU200809_23U,2009/04/30 12:00,3,1,20,-5.1,131.4,,,,0,0,0,,12.9,0
Kirrily,AU200809_23U,2009/04/30 18:00,3,1,20,-5.1,131.2,,,,0,0,0,,12.9,0
Kirrily,AU200809_23U,2009/05/01 0:00,3,1,20,-5.2,131,,,,0,0,0,,12.9,0
Kirrily,AU200809_23U,2009/05/01 3:00,3,1,20,-5.3,130.8,,,,0,0,0,,12.9,0
Kirrily,AU200809_23U,2009/05/01 6:00,3,1,20,-5.1,130.5,,,,0,0,0,,12.9,0
Laurence,AU200910_01U,2009/12/08 0:00,3,1,10,-8.9,139.5,1008,,222,0,0,0,,10.3,20.6
Laurence,AU200910_01U,2009/12/08 6:00,3,1,10,-9.2,138.2,1005,,278,0,0,0,,10.3,20.6
Laurence,AU200910_01U,2009/12/08 12:00,3,1,10,-9.5,138,1006,,278,0,0,0,,10.3,20.6
Laurence,AU200910_01U,2009/12/08 18:00,3,1,10,-9.65,137.65,1006,,278,0,0,0,,10.3,20.6
Laurence,AU200910_01U,2009/12/09 0:00,3,1,10,-9.8,137.2,1008,,333,0,0,0,,10.3,20.6
Laurence,AU200910_01U,2009/12/09 6:00,3,1,20,-9.9,136.6,1005,,333,0,0,0,,10.3,23.2
Laurence,AU200910_01U,2009/12/09 12:00,3,1,20,-9.9,135.9,1005,,278,0,0,0,,12.9,23.2
Laurence,AU200910_01U,2009/12/09 18:00,3,1,20,-9.9,135.2,1003,,278,0,0,0,,12.9,23.2
Laurence,AU200910_01U,2009/12/10 0:00,3,1,20,-10,134.5,1005,,278,0,0,0,,12.9,23.2
Laurence,AU200910_01U,2009/12/10 6:00,3,1,20,-10.3,133.7,1003,,278,0,0,0,,12.9,23.2
Laurence,AU200910_01U,2009/12/10 12:00,3,1,20,-10.4,133.4,1004,,278,0,0,0,,12.9,23.2
Laurence,AU200910_01U,2009/12/10 18:00,3,1,20,-10.5,133.1,1002,,222,0,0,0,,12.9,23.2
Laurence,AU200910_01U,2009/12/11 0:00,3,1,20,-10.7,132.7,1005,,222,0,0,0,,12.9,23.2
Laurence,AU200910_01U,2009/12/11 6:00,3,5,20,-11.3,132.1,1006,,222,0,0,0,,12.9,23.2
Laurence,AU200910_01U,2009/12/11 12:00,3,1,20,-11.8,131.7,1005,,222,0,0,0,,12.9,23.2
Laurence,AU200910_01U,2009/12/11 18:00,3,3,20,-12.2,131.1,1005,,185,0,0,0,,15.4,23.2
Laurence,AU200910_01U,2009/12/12 0:00,3,2,21,-12.5,130.7,999,,185,24,0,0,,18,25.7
Laurence,AU200910_01U,2009/12/12 6:00,3,4,20,-13,130.2,1004,,185,0,0,0,,15.4,23.2
Laurence,AU200910_01U,2009/12/12 12:00,3,1,20,-13.1,130,1005,,148,0,0,0,,12.9,23.2
Laurence,AU200910_01U,2009/12/12 18:00,3,1,20,-13.2,129.6,1003,,111,0,0,0,,12.9,23.2
Laurence,AU200910_01U,2009/12/13 0:00,3,1,20,-13.1,128.7,1004,,111,0,0,0,,12.9,23.2
Laurence,AU200910_01U,2009/12/13 6:00,3,1,20,-12.6,127.9,1004,,167,0,0,0,,12.9,23.2
Laurence,AU200910_01U,2009/12/13 12:00,3,1,20,-12.2,127.8,1003,,185,0,0,0,,12.9,23.2
Laurence,AU200910_01U,2009/12/13 18:00,3,1,20,-12.4,128.8,1002,,222,0,0,0,,15.4,23.2
Laurence,AU200910_01U,2009/12/14 0:00,3,1,30,-13,128.5,998,,204,97,0,0,56,18,25.7
Laurence,AU200910_01U,2009/12/14 6:00,3,1,30,-13,127.8,996,,185,78,0,0,56,20.6,28.3
Laurence,AU200910_01U,2009/12/14 12:00,3,1,30,-13.1,127.1,988,,185,55,22,0,28,25.7,36
Laurence,AU200910_01U,2009/12/14 18:00,3,1,30,-13.2,126.6,984,,185,44,22,0,28,28.3,41.2
Laurence,AU200910_01U,2009/12/15 0:00,3,1,40,-13.6,126.3,978,,148,44,29,15,19,33.4,46.3
